City,State,Region
Gondia,Maharashtra,West
Ichalkaranji,Maharashtra,West
Jalgaon,Maharashtra,West
Jalna,Maharashtra,West
Kalyan-Dombivli,Maharashtra,West
Kolhapur,Maharashtra,West
Latur,Maharashtra,West
Mira-Bhayandar,Maharashtra,West
Mumbai,Maharashtra,West
Nagpur,Maharashtra,West
Nanded,Maharashtra,West
Nashik,Maharashtra,West
Navi Mumbai,Maharashtra,West
Parbhani,Maharashtra,West
Pimpri-Chinchwad,Maharashtra,West
Pune,Maharashtra,West
Sangli,Maharashtra,West
Satara,Maharashtra,West
Solapur,Maharashtra,West
Thane,Maharashtra,West
Vasai-Virar,Maharashtra,West
Yavatmal,Maharashtra,West
Imphal,Manipur,East
Shillong,Meghalaya,East
Tura,Meghalaya,East
Aizawl,Mizoram,East
Dimapur,Nagaland,East
Kohima,Nagaland,East
Balangir,Odisha,East
Balasore,Odisha,East
Baripada,Odisha,East
Berhampur,Odisha,East
Bhadrak,Odisha,East
Bhubaneswar,Odisha,East
Cuttack,Odisha,East
Jharsuguda,Odisha,East
Puri,Odisha,East
Rourkela,Odisha,East
Sambalpur,Odisha,East
Puducherry,Puducherry,South
Amritsar,Punjab,North
Barnala,Punjab,North
Bathinda,Punjab,North
Firozpur,Punjab,North
Hoshiarpur,Punjab,North
Jalandhar,Punjab,North
Kapurthala,Punjab,North
Khanna,Punjab,North
Ludhiana,Punjab,North
Mohali,Punjab,North
Muktsar,Punjab,North
Pathankot,Punjab,North
Patiala,Punjab,North
Ajmer,Rajasthan,West
Alwar,Rajasthan,West
Barmer,Rajasthan,West
Beawar,Rajasthan,West
Bharatpur,Rajasthan,West
Bhilwara,Rajasthan,West
Bikaner,Rajasthan,West
Churu,Rajasthan,West
Dholpur,Rajasthan,West
Jaipur,Rajasthan,West
Jodhpur,Rajasthan,West
Kota,Rajasthan,West
Pali,Rajasthan,West
Sikar,Rajasthan,West
Sri Ganganagar,Rajasthan,West
Tonk,Rajasthan,West
Udaipur,Rajasthan,West
Gangtok,Sikkim,East
Ambur,Tamil Nadu,South
Chennai,Tamil Nadu,South
Coimbatore,Tamil Nadu,South
Cuddalore,Tamil Nadu,South
Dindigul,Tamil Nadu,South
Erode,Tamil Nadu,South
Hosur,Tamil Nadu,South
Kanchipuram,Tamil Nadu,South
Karur,Tamil Nadu,South
Kumbakonam,Tamil Nadu,South
Madurai,Tamil Nadu,South
Nagercoil,Tamil Nadu,South
Pudukkottai,Tamil Nadu,South
Salem,Tamil Nadu,South
Thanjavur,Tamil Nadu,South
Thoothukudi,Tamil Nadu,South
Tiruchirappalli,Tamil Nadu,South
Tirunelveli,Tamil Nadu,South
Tiruppur,Tamil Nadu,South
Vellore,Tamil Nadu,South
Adilabad,Telangana,South
Hyderabad,Telangana,South
Karimnagar,Telangana,South
Khammam,Telangana,South
Mahbubnagar,Telangana,South
Miryalaguda,Telangana,South
Nalgonda,Telangana,South
Nizamabad,Telangana,South
Ramagundam,Telangana,South
Suryapet,Telangana,South
Warangal,Telangana,South
Agartala,Tripura,East
Agra,Uttar Pradesh,North
Aligarh,Uttar Pradesh,North
Amroha,Uttar Pradesh,North
Ayodhya,Uttar Pradesh,North
Bareilly,Uttar Pradesh,North
Bulandshahr,Uttar Pradesh,North
Etawah,Uttar Pradesh,North
Fatehpur,Uttar Pradesh,North
Firozabad,Uttar Pradesh,North
Ghaziabad,Uttar Pradesh,North
Gorakhpur,Uttar Pradesh,North
Hapur,Uttar Pradesh,North
Hardoi,Uttar Pradesh,North
Jaunpur,Uttar Pradesh,North
Jhansi,Uttar Pradesh,North
Kanpur,Uttar Pradesh,North
Lucknow,Uttar Pradesh,North
Mathura,Uttar Pradesh,North
Meerut,Uttar Pradesh,North
Mirzapur,Uttar Pradesh,North
Moradabad,Uttar Pradesh,North
Muzaffarnagar,Uttar Pradesh,North
Noida,Uttar Pradesh,North
Prayagraj (Allahabad),Uttar Pradesh,North
Rae Bareli,Uttar Pradesh,North
Rampur,Uttar Pradesh,North
Saharanpur,Uttar Pradesh,North
Sambhal,Uttar Pradesh,North
Varanasi,Uttar Pradesh,North
Dehradun,Uttarakhand,North
Haldwani,Uttarakhand,North
Haridwar,Uttarakhand,North
Kashipur,Uttarakhand,North
Pithoragarh,Uttarakhand,North
Rishikesh,Uttarakhand,North
Roorkee,Uttarakhand,North
Rudrapur,Uttarakhand,North
Asansol,West Bengal,East
Baharampur,West Bengal,East
Balurghat,West Bengal,East
Bankura,West Bengal,East
Bardhaman,West Bengal,East
Durgapur,West Bengal,East
Haldia,West Bengal,East
Howrah,West Bengal,East
Jalpaiguri,West Bengal,East
Kalyani,West Bengal,East
Kharagpur,West Bengal,East
Kolkata,West Bengal,East
Malda,West Bengal,East
Purulia,West Bengal,East
Siliguri,West Bengal,East
